IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.44.16,4,4,0.00,65.03,53.20,NRT
162.159.38.195,4,4,0.00,54.71,52.89,NRT
172.64.229.105,4,4,0.00,72.79,50.74,NRT
172.64.148.141,4,4,0.00,75.65,50.36,SIN
172.64.52.96,4,4,0.00,59.60,50.16,NRT
162.159.33.154,4,4,0.00,73.56,50.09,SIN
172.64.154.145,4,4,0.00,74.99,49.12,SIN
108.162.198.15,4,4,0.00,74.88,42.86,NRT
172.64.156.204,4,4,0.00,74.69,0.21,SIN
172.64.46.227,4,4,0.00,75.86,0.00,N/A
162.159.35.168,4,4,0.00,76.07,0.00,N/A
162.159.60.38,4,4,0.00,76.13,0.00,N/A
162.159.26.153,4,4,0.00,76.17,0.00,N/A
162.159.34.1,4,4,0.00,76.38,0.00,N/A
162.159.36.33,4,4,0.00,76.51,0.00,N/A
162.159.24.110,4,4,0.00,76.85,0.00,N/A
162.159.62.82,4,4,0.00,77.02,0.00,N/A
172.64.36.188,4,4,0.00,77.25,0.00,N/A
172.64.158.129,4,4,0.00,77.37,0.00,N/A
172.64.150.224,4,4,0.00,77.67,0.00,N/A
172.64.145.61,4,4,0.00,77.72,0.00,N/A
172.64.155.172,4,4,0.00,77.74,0.00,N/A
172.64.48.82,4,4,0.00,77.75,0.00,N/A
162.159.50.143,4,4,0.00,77.84,0.00,N/A
162.159.48.169,4,4,0.00,78.07,0.00,N/A
162.159.27.219,4,4,0.00,78.13,0.00,N/A
173.245.58.37,4,4,0.00,78.22,0.00,N/A
172.64.37.241,4,4,0.00,78.29,0.00,N/A
172.64.159.109,4,4,0.00,78.45,0.00,N/A
162.159.58.114,4,4,0.00,78.61,0.00,N/A
172.64.49.7,4,4,0.00,78.66,0.00,N/A
172.64.33.221,4,4,0.00,78.68,0.00,N/A
172.64.146.141,4,4,0.00,78.69,0.00,N/A
162.159.41.92,4,4,0.00,78.71,0.00,N/A
172.64.35.161,4,4,0.00,78.92,0.00,N/A
172.64.157.85,4,4,0.00,79.00,0.00,N/A
162.159.56.67,4,4,0.00,79.25,0.00,N/A
162.159.25.12,4,4,0.00,79.32,0.00,N/A
172.64.32.163,4,4,0.00,79.55,0.00,N/A
198.41.223.25,4,4,0.00,79.66,0.00,N/A
162.159.61.206,4,4,0.00,79.67,0.00,N/A
162.159.49.248,4,4,0.00,79.71,0.00,N/A
172.64.47.113,4,4,0.00,79.79,0.00,N/A
172.64.42.148,4,4,0.00,79.88,0.00,N/A
172.64.149.158,4,4,0.00,80.03,0.00,N/A
172.64.38.102,4,4,0.00,80.13,0.00,N/A
172.64.151.130,4,4,0.00,80.30,0.00,N/A
162.159.2.18,4,4,0.00,80.35,0.00,N/A
172.64.153.187,4,4,0.00,80.40,0.00,N/A
162.159.46.50,4,4,0.00,80.62,0.00,N/A
162.159.42.40,4,4,0.00,80.69,0.00,N/A
198.41.222.61,4,4,0.00,80.81,0.00,N/A
162.159.6.12,4,4,0.00,81.37,0.00,N/A
162.159.57.209,4,4,0.00,81.46,0.00,N/A
162.159.32.66,4,4,0.00,82.07,0.00,N/A
162.159.43.12,4,4,0.00,82.43,0.00,N/A
173.245.59.11,4,4,0.00,82.61,0.00,N/A
